aluno_id,horas_estudo,frequencia,atividades_entregues,nota_anterior,nota_final
98,1.75,77.56,20.21,1.66,2.22
99,2.36,61.64,18.58,7.23,5.78
100,19.24,70.76,52.2,3.89,8.09
101,18.17,84.2,46.84,2.15,9.39
102,13.99,93.18,25.94,5.63,6.92
103,5.32,95.26,4.52,7.56,6.47
104,19.38,70.22,48.15,2.57,8.9
105,15.58,71.22,95.93,8.27,10.0
106,14.34,87.99,65.25,9.28,9.21
107,8.99,58.87,49.55,5.97,6.64
108,5.44,90.24,11.07,6.69,6.25
109,1.93,69.65,25.24,0.53,3.35
110,18.05,46.95,29.48,9.46,8.0
111,9.12,44.32,76.48,3.92,5.8
112,4.05,90.52,87.67,9.24,7.15
113,6.12,43.33,90.16,5.79,6.34
114,11.58,56.84,98.46,0.05,6.14
115,3.54,60.05,98.24,0.39,4.36
116,17.13,50.38,95.3,6.8,7.59
117,15.17,58.83,7.18,5.63,7.4
118,14.39,84.56,13.78,0.27,5.79
119,8.64,40.88,30.45,7.43,5.41
120,12.55,89.63,55.29,8.52,8.81
121,11.68,91.39,9.7,4.96,5.58
122,13.0,62.34,84.58,4.66,6.71
123,1.69,49.22,61.68,0.05,2.6
124,8.32,76.05,54.24,7.87,8.6
125,0.83,47.18,16.53,3.31,2.54
126,9.88,61.9,25.33,8.79,7.73
127,6.6,97.51,16.03,3.73,5.31
128,2.89,99.73,85.19,5.65,7.39
129,2.07,86.33,58.42,2.7,4.96
130,11.75,58.66,73.51,1.61,6.61
131,3.41,81.26,29.6,7.75,5.93
132,18.5,82.32,37.13,4.97,7.02
133,11.62,63.27,40.49,5.36,5.57
134,6.94,78.45,76.0,9.65,8.08
135,11.82,40.64,77.24,9.64,7.26
136,0.46,52.54,20.68,8.56,5.39
137,19.17,71.51,94.15,1.88,7.76
138,9.65,49.83,12.07,5.94,7.45
139,15.65,49.95,89.61,8.78,7.79
140,1.65,90.18,10.04,3.74,4.68
141,9.73,99.35,26.45,1.01,4.71
142,9.81,73.36,84.65,8.11,8.1
143,18.76,90.34,17.95,4.82,8.24
144,11.43,99.42,41.36,5.64,5.98
145,9.47,48.5,44.99,9.82,7.69
146,5.34,66.89,24.53,6.07,7.11
147,6.63,63.55,71.02,4.25,5.65
148,10.41,44.8,85.13,3.7,6.42
149,8.78,85.32,87.46,4.18,8.17
150,0.43,66.03,33.93,1.18,3.02
151,16.53,68.16,53.09,7.95,8.4
152,17.92,49.04,24.84,8.38,6.31
153,2.8,50.86,24.48,2.84,4.03
154,11.08,94.43,16.13,3.04,6.12
155,2.17,42.68,94.0,8.74,5.8
156,13.44,53.97,88.8,0.24,6.0
157,5.62,57.52,77.74,5.2,5.65
158,13.19,69.41,51.77,4.64,6.69
159,14.54,75.19,49.06,6.9,8.75
160,15.37,69.6,52.97,1.63,5.42
161,2.15,45.05,53.66,6.68,5.99
162,18.32,54.62,43.46,3.77,6.01
163,4.6,90.62,13.18,6.19,5.45
164,0.75,78.26,12.57,0.4,4.41
165,11.1,78.95,95.22,4.62,8.79
166,7.42,80.21,48.2,5.22,6.61
167,16.6,85.77,95.32,2.14,7.46
168,16.17,43.49,16.36,1.4,4.61
169,6.34,62.0,55.44,1.88,4.83
170,19.06,72.37,20.77,3.44,7.25
171,5.82,60.31,25.32,0.97,3.63
172,10.3,90.67,3.01,9.47,7.93
173,5.12,68.95,11.9,4.05,4.47
174,18.72,86.12,91.68,8.09,9.46
175,3.29,91.12,32.15,9.74,6.97
176,0.9,70.29,60.81,0.81,4.5
177,8.7,94.57,46.5,6.52,6.52
178,19.85,75.23,40.05,8.71,9.53
179,17.83,91.02,53.19,6.34,8.57
180,14.97,60.44,18.72,4.29,6.47
181,17.82,69.93,98.86,4.31,8.48
182,17.87,71.88,81.83,0.36,8.32
183,10.38,46.3,74.16,5.35,7.02
184,6.32,63.91,46.88,9.94,6.42
185,15.44,95.04,15.29,9.59,9.83
186,13.23,77.85,92.07,0.4,6.08
187,7.47,50.65,34.14,7.06,5.56
188,1.89,60.33,5.01,3.02,3.56
189,14.94,51.5,34.24,9.03,7.69
190,5.25,41.49,79.45,0.45,4.65
191,18.74,95.65,62.27,9.36,10.0
192,4.82,66.89,75.08,8.37,6.81
193,2.46,58.45,79.36,1.18,3.67
194,16.62,75.91,21.2,0.6,5.45
195,3.07,40.44,92.38,8.35,7.41
196,3.59,56.68,43.8,1.56,4.27
197,11.99,82.18,63.9,5.35,9.14
198,17.49,78.03,0.23,9.16,10.0
199,3.93,98.91,99.34,5.67,6.82
200,6.21,77.22,28.09,3.97,5.44
201,15.55,68.65,6.21,4.45,5.6
202,19.44,85.69,45.83,0.63,6.58
203,10.01,94.2,12.9,9.69,7.77
204,2.88,83.24,15.23,3.11,3.56
205,0.28,97.79,63.23,1.89,4.07
206,4.59,86.92,39.29,2.86,5.11
207,2.64,92.01,92.19,9.64,7.48
208,13.55,46.85,31.92,0.94,5.49
209,2.44,83.94,72.62,8.67,6.71
210,10.13,66.41,46.11,7.08,9.46
211,13.89,73.19,66.0,8.3,8.56
212,11.62,79.25,59.97,9.76,9.14
213,4.0,98.19,47.28,8.42,6.52
214,16.08,99.07,95.01,9.43,10.0
215,14.31,57.29,34.27,1.27,6.32
216,14.78,84.03,17.72,7.96,8.56
217,2.62,85.0,67.81,5.46,5.21
218,2.48,60.79,84.6,5.43,6.03
219,18.55,47.43,4.03,8.99,7.09
220,7.95,42.46,44.96,9.72,8.18
221,6.02,86.64,89.25,7.05,8.58
222,9.77,69.38,74.96,4.83,7.11
223,13.26,99.13,99.18,4.56,6.99
224,19.11,67.9,53.14,3.86,7.11
225,5.73,98.68,66.0,3.62,7.13
226,18.5,64.69,30.25,3.92,8.22
227,0.5,87.62,94.75,0.9,5.81
228,11.1,45.09,36.63,0.77,3.08
229,12.68,73.33,73.85,7.8,8.93
230,2.12,88.12,40.31,4.46,6.2
231,2.81,95.48,56.18,9.31,6.42
232,8.38,89.35,71.98,6.12,7.77
233,19.32,42.22,50.89,0.35,6.11
234,11.92,62.36,90.71,1.58,6.14
235,18.66,42.92,41.93,2.06,4.72
236,16.09,46.56,64.71,9.76,8.74
237,9.35,80.52,34.24,2.19,5.29
238,15.7,82.8,40.82,5.16,7.81
239,0.36,86.42,44.01,9.36,6.36
240,2.18,91.93,12.58,9.77,6.47
241,16.59,84.37,9.17,2.36,6.5
242,15.94,88.05,66.75,0.49,7.37
243,4.65,42.94,65.55,1.54,3.73
244,10.62,54.07,66.29,0.63,4.75
245,12.12,77.31,1.98,1.95,5.3
246,17.35,91.49,32.65,5.69,6.97
247,12.06,40.27,19.78,9.12,7.35
248,8.25,70.88,77.82,5.37,7.05
249,7.48,80.64,86.06,6.26,7.71
250,8.52,41.78,24.67,2.02,4.75
251,13.04,64.08,66.78,8.01,6.84
252,17.35,93.74,12.94,6.18,6.78
253,9.08,80.3,27.52,8.64,7.84
254,4.96,54.26,13.87,9.49,6.11
255,4.73,91.17,28.35,3.48,5.51
256,14.92,60.88,67.47,0.91,5.81
257,16.33,91.2,91.03,2.26,8.82
258,2.11,57.94,20.25,4.38,4.8
259,1.33,75.42,54.21,9.46,7.28
260,11.89,63.82,70.14,3.78,6.57
261,2.92,56.49,95.29,7.71,5.14
262,16.49,93.19,61.01,5.4,9.49
263,6.21,51.26,25.51,1.83,4.78
264,2.88,45.09,62.55,3.21,4.76
265,18.42,60.52,32.05,6.53,7.35
266,3.31,83.06,97.61,6.73,7.93
267,5.69,88.45,39.97,4.35,6.69
268,3.07,99.92,68.54,2.29,6.97
269,2.31,57.78,2.32,7.22,4.02
270,0.42,64.48,40.01,1.69,3.22
271,1.11,48.21,87.51,9.37,7.27
272,3.49,74.49,61.02,1.88,4.79
273,1.07,99.85,44.39,1.07,3.56
274,11.82,82.05,93.59,4.98,8.54
275,13.61,75.71,85.4,5.2,8.71
276,7.87,63.54,32.22,5.08,5.82
277,6.36,94.92,54.45,4.37,6.79
278,10.09,69.81,48.98,9.95,8.17
279,17.5,48.06,63.22,4.86,8.74
280,17.02,61.92,33.41,4.78,6.54
281,0.87,44.03,24.42,4.22,2.97
282,3.63,52.12,91.27,0.67,4.28
283,4.73,41.06,92.39,5.93,6.71
284,4.99,67.2,84.33,2.28,4.2
285,11.42,78.07,97.82,6.38,7.54
286,8.33,60.6,74.5,0.51,3.35
287,0.99,65.22,76.47,9.81,7.12
288,7.47,97.55,76.26,4.69,6.54
289,10.48,85.12,48.06,8.97,8.23
290,2.03,72.45,45.65,4.76,5.65
291,16.67,57.07,24.02,0.6,4.89
292,1.04,93.82,64.48,8.22,7.35
293,18.5,54.11,28.93,6.48,7.56
294,1.98,59.52,25.78,7.82,5.93
295,16.87,94.54,58.6,4.28,8.92
296,18.05,71.77,41.0,6.38,7.9
297,19.59,84.54,21.89,8.56,9.36
298,16.04,75.44,81.61,6.31,9.83
299,15.59,79.21,86.06,3.48,8.44
300,12.85,57.96,16.77,6.63,5.59
301,15.58,54.48,0.75,6.72,7.33
302,2.69,59.35,33.61,9.61,5.43
303,10.72,49.33,79.75,3.71,7.43
304,10.28,92.46,83.92,4.25,8.61
305,17.15,56.99,13.83,8.12,8.15
306,9.26,73.69,77.43,5.06,7.32
307,7.7,87.52,11.57,7.37,6.65
308,12.79,87.03,39.01,4.6,7.85
309,5.33,66.3,99.86,2.15,5.4
310,2.8,68.58,19.26,7.45,5.74
311,9.56,99.68,15.4,1.31,6.18
312,8.34,80.48,42.28,1.99,5.01
313,4.65,88.88,61.97,6.27,6.44
314,7.35,94.15,93.29,7.47,7.67
315,7.33,87.26,98.08,8.95,8.18
316,6.55,51.11,6.96,2.73,2.34
317,7.59,73.73,13.8,1.11,4.83
318,13.71,46.11,79.07,9.56,10.0
319,5.94,79.18,27.06,1.54,5.67
320,18.98,97.32,88.48,1.98,7.5
321,18.33,70.76,66.35,2.91,8.35
322,9.62,65.98,11.18,5.29,6.92
323,6.57,42.15,83.25,8.83,6.84
324,10.71,97.59,17.64,7.61,7.95
325,16.97,46.18,42.35,7.08,6.16
326,13.05,42.46,55.22,1.75,5.55
327,16.09,54.76,50.08,3.58,5.94
328,10.65,43.93,68.62,4.78,6.44
329,12.66,67.31,65.27,1.47,4.87
330,5.76,70.97,99.2,2.73,6.54
331,14.7,58.75,99.94,3.08,8.31
332,4.05,43.06,51.65,1.27,2.87
333,13.9,46.7,9.52,5.5,5.11
334,17.21,63.07,72.78,7.05,7.19
335,2.64,43.63,97.67,0.7,3.77
336,12.29,81.89,31.83,4.81,6.52
337,1.9,52.42,46.12,7.82,4.33
338,14.51,58.12,42.48,7.48,8.19
339,1.69,63.65,5.14,8.15,4.81
340,18.72,65.0,67.23,4.48,7.37
341,2.75,40.1,35.33,8.21,4.83
342,19.18,46.72,78.75,2.41,8.13
343,16.02,91.77,83.21,3.61,9.05
344,11.87,40.07,82.12,1.76,5.5
345,15.65,70.49,41.67,4.67,7.9
346,15.9,69.37,32.15,3.92,6.03
347,18.92,59.99,74.88,2.41,7.57
348,5.07,65.88,80.14,7.52,7.24
349,11.8,86.83,49.13,3.14,6.43
350,1.9,90.47,89.3,2.73,6.15
351,12.32,55.62,14.39,1.31,4.01
352,3.43,59.35,87.91,4.39,6.1
353,11.3,54.55,9.61,3.03,5.36
354,11.45,68.79,15.35,3.69,3.39
355,9.32,81.0,53.38,2.36,6.95
356,10.45,53.7,6.75,7.63,3.86
357,15.28,59.84,5.28,9.3,7.41
358,15.98,95.82,0.05,4.98,8.32
359,9.84,42.91,43.63,6.43,5.93
360,11.99,67.65,77.46,8.67,7.6
361,18.62,82.69,3.48,9.99,8.52
362,2.39,49.03,65.23,6.14,6.18
363,2.34,42.84,82.31,8.9,4.93
364,1.75,48.29,16.8,9.09,6.18
365,13.16,95.13,14.69,7.91,8.24
366,8.37,40.56,86.08,4.61,5.1
367,15.49,51.3,82.31,0.81,5.79
368,13.42,41.88,53.89,0.16,3.99
369,6.67,46.64,81.92,4.77,6.6
370,17.97,77.21,9.28,4.94,8.05
371,15.25,54.5,39.45,4.07,5.22
372,5.41,74.15,73.78,5.68,6.34
373,7.28,75.41,25.75,5.52,5.33
374,6.29,90.97,75.23,8.37,9.33
375,3.15,40.28,50.42,1.09,2.08
376,2.96,91.2,75.03,2.25,6.84
377,18.72,77.15,46.47,7.93,9.36
378,8.76,49.76,36.79,8.48,5.84
379,7.67,86.38,21.92,9.95,7.35
380,14.59,91.33,20.84,8.73,8.2
381,11.06,55.26,75.15,8.9,7.25
382,18.72,95.13,11.89,3.14,7.64
383,15.61,67.27,8.6,4.02,5.42
384,9.59,76.21,17.63,2.68,3.56
385,7.53,99.08,17.53,6.06,6.5
386,19.73,61.69,82.31,9.39,8.89
387,14.36,88.79,39.85,3.45,6.65
388,19.02,59.1,99.04,5.57,8.4
389,2.37,87.95,13.72,2.96,3.68
390,17.01,76.04,65.35,1.7,8.85
391,12.74,52.98,44.87,1.95,5.51
392,2.44,64.84,39.29,0.58,3.57
393,11.77,59.06,87.51,9.49,7.54
394,13.72,44.69,97.56,4.03,6.65
395,0.25,41.79,87.29,8.34,6.14
396,9.09,60.79,19.23,6.81,5.41
397,16.51,41.14,22.08,1.92,6.05
398,5.91,49.93,65.61,1.75,3.53
399,9.17,83.51,28.91,8.12,7.35
400,8.85,82.49,73.47,2.65,5.99
